Mission,State,From,To,Run By,Lat,Lon,Wikipedia,Find & Connect
Croker Island,NT,1940,,MTH – Methodist Overseas Mission,-11.3673325,132.5529703,,https://www.findandconnect.gov.au/entity/croker-island-mission/
Daly River,NT,1886,1899,RC – Roman Catholic,13°35′11″S,130°38′28″E,"https://en.wikipedia.org/wiki/Daly_River,_Northern_Territory",https://www.findandconnect.gov.au/entity/st-josephs-mission-daly-river/
Daly River,NT,1956,,RC (MSC) – Roman Catholic (Missionaries of the Sacred Heart),13°35′11″S,130°38′28″E,"https://en.wikipedia.org/wiki/Daly_River,_Northern_Territory",https://www.findandconnect.gov.au/entity/daly-river-mission-3/
Dellssaville (Belyuen),NT,1946,,AIM – Aborigines Inland Mission,-12.5296769,130.6442315,"https://en.wikipedia.org/wiki/Belyuen,_Northern_Territory",
East Arm Settlement (Leper Station),NT,1923,1924,RC – Roman Catholic,-12.4713821,130.8853524,,https://www.findandconnect.gov.au/entity/east-arm-leprosarium-6/
Elcho Island,NT,1922,1923,MTH – Methodist Overseas Mission,-11.9979332,135.5365329,,https://www.findandconnect.gov.au/entity/elcho-island-mission-2/
Elliot,NT,,,,17°33′10″S,133°32′27″E,"https://en.wikipedia.org/wiki/Elliott,_Northern_Territory",
Emerald River (Groote Eylandt),NT,1921,1943,CMS – Church Missionary Society,-14.0799315,136.3927318,,https://www.findandconnect.gov.au/entity/groote-eylandt-mission-2/
Finke River Mission House (Alice Springs),NT,1877,1982,L – Lutheran Church of Australia,-24.3124081,132.8918785,,https://www.findandconnect.gov.au/entity/hermannsburg-mission-2/
Galiwinku (see Elcho Island),NT,1942,1974,MTH – Methodist Overseas Mission,-11.9979332,135.5365329,,https://www.findandconnect.gov.au/entity/elcho-island-mission/
Garden Point,NT,1940,1968,RC (MSC) – Roman Catholic (Missionaries of the Sacred Heart),11°23′21.30″S,130°25′28.63″E,https://en.wikipedia.org/wiki/Pirlangimpi,https://www.findandconnect.gov.au/entity/garden-point-mission/
Goulburn Island,NT,1915,1973,MTH – Methodist Overseas Mission,-11.6332296,133.3839696,,https://www.findandconnect.gov.au/entity/goulburn-island-mission-2/
Haast Bluff,NT,1940,1954,L – Lutheran Church of Australia,-23.4470684,131.8410098,,https://www.findandconnect.gov.au/entity/haasts-bluff-native-settlement/
Hermannsburg,NT,1877,1982,L – Lutheran Church of Australia,23°56′35″S,132°46′40″E,"https://en.wikipedia.org/wiki/Hermannsburg,_Northern_Territory",https://www.findandconnect.gov.au/entity/hermannsburg-mission-2/
