Name,Features,Alternative Name,Wikipedia,Commenced,Opened,Closed,Line Length (km)
CLAISEBROOK BUNBURY TERMINAL RAILWAY,27,,https://en.wikipedia.org/wiki/Armadale_line,1892,1893,,
EASTERN RAILWAY,9,,https://en.wikipedia.org/wiki/Eastern_Railway_(Western_Australia),1881,1893,,120
WARRACKNABEAL-BEULAH,4,,https://en.wikipedia.org/wiki/Hopetoun_railway_line,1886,1893,,
BROADMEADOWS LINE,59,Craigieburn line,https://en.wikipedia.org/wiki/Craigieburn_line,1860,1894,,27
NORTHAM GERALDTON RAILWAY,25,GERALDTON MULLEWA RAILWAY,https://en.wikipedia.org/wiki/Geraldton_to_Mullewa_railway_line,1893,1894,,107
MILLENDON JUNCTION NARNGULU RAILWAY,14,,"https://en.wikipedia.org/wiki/Midland_railway_line,_Western_Australia",,1894,,452
SNOWTOWN - WALLAROO,5,,https://en.wikipedia.org/wiki/Kadina%E2%80%93Brinkworth_railway_line,1879,1894,1993,95
NATIMUK-GAROKE,3,,https://en.wikipedia.org/wiki/Ararat_railway_line#Ararat_region,,1894,1986,
SNOWTOWN - BRINKWORTH,2,,https://en.wikipedia.org/wiki/Kadina%E2%80%93Brinkworth_railway_line,,1894,1990,
NATHALIA-PICOLA RAILWAY,3,,https://en.wikipedia.org/wiki/Picola,,1896,1986,
GOONYELLA SYSTEM,294,Eagle Junction to Doomben,https://en.wikipedia.org/wiki/Doomben_railway_line,1882,1897,,8
WERRIS CREEK MUNGINDI RAILWAY,211,Mungindi railway line,https://en.wikipedia.org/wiki/Mungindi_railway_line,1879,1897,,
CLEVELAND LINE,60,Park Road to Cleveland,https://en.wikipedia.org/wiki/Cleveland_railway_line,1888,1897,,37
PERTH KALGOORLIE RAILWAY,42,,https://en.wikipedia.org/wiki/Eastern_Goldfields_Railway,1894,1897,,373
WINTON BRANCH,6,Hughenden to Winton,https://en.wikipedia.org/wiki/Hughenden-Winton_railway_line,1897,1899,2008,212
MELBA LINE,158,,https://en.wikipedia.org/wiki/Melba_Line,1878,1900,,130
PUFFING BILLY RAILWAY,95,,https://en.wikipedia.org/wiki/Puffing_Billy_Railway,1899,1900,1953,25
BELGRAVE LINE,91,,https://en.wikipedia.org/wiki/Belgrave_line,1889,1900,,42
KOORAWATHA GRENFELL RAILWAY,13,,https://en.wikipedia.org/wiki/Grenfell_railway_line,,1901,,
MUNGANA BRANCH,13,Almaden to Mungana,https://en.wikipedia.org/wiki/Tablelands_railway_line,,1901,1992,
BYROCK BREWARRINA RAILWAY,11,,https://en.wikipedia.org/wiki/Brewarrina_railway_line,1900,1901,1974,94
WHYALLA - IRON KNOB,2,,https://en.wikipedia.org/wiki/BHP_Whyalla_Tramway,,1901,,112
MOREE INVERELL RAILWAY,106,,https://en.wikipedia.org/wiki/Inverell_railway_line,1900,1902,1994,154
OLD BEECHY RAILTRAIL,66,,https://en.wikipedia.org/wiki/Old_Beechy_Rail_Trail,,1902,1962,45
GOULBURN CROOKWELL RAILWAY,15,,https://en.wikipedia.org/wiki/Crookwell_railway_line,,1902,1989,57
CASINO MURWILLUMBAH RAILWAY,249,,https://en.wikipedia.org/wiki/Murwillumbah_railway_line,1894,1903,2020,
YELTA LINE,225,Mildura railway line,https://en.wikipedia.org/wiki/Mildura_railway_line,1874,1903,,474
DUBBO COONAMBLE RAILWAY,50,,https://en.wikipedia.org/wiki/Coonamble_railway_line,,1903,,
COOTAMUNDRA TUMUT RAILWAY,32,,https://en.wikipedia.org/wiki/Tumut_and_Kunama_railway_lines,1884,1903,,104
MIDLAND KWINANA RAILWAY,16,,https://en.wikipedia.org/wiki/Kwinana_freight_railway,,1903,,
KALGOORLIE LEONORA RAILWAY,4,,https://en.wikipedia.org/wiki/Leonora_railway_line,1897,1903,,259
NORTH COAST RAILWAY,699,North Coast railway line,"https://en.wikipedia.org/wiki/North_Coast_railway_line,_New_South_Wales",1894,1905,,795
BELL BRANCH RAILWAY,17,Dalby to Bell,https://en.wikipedia.org/wiki/Bell_Branch_railway_line,1904,1906,1994,
BURREN JUNCTION POKATAROO RAILWAY,14,,https://en.wikipedia.org/wiki/Pokataroo_railway_line,,1906,,
TAILEM BEND - PINNAROO,8,,"https://en.wikipedia.org/wiki/Pinnaroo_railway_line,_South_Australia",,1906,2015,154
BRUNSWICK JUNCTION NARROGIN RAILWAY,34,,https://en.wikipedia.org/wiki/Brunswick_Junction_to_Narrogin_railway_line,1898,1907,1988,186
TOCUMWAL LINE,121,,"https://en.wikipedia.org/wiki/Tocumwal_railway_line,_Victoria",1860,1908,,251
NARRANDERA TOCUMWAL RAILWAY,56,,"https://en.wikipedia.org/wiki/Tocumwal_railway_line,_New_South_Wales",1884,1908,1988,
NARRABRI WEST WALGETT RAILWAY,43,,https://en.wikipedia.org/wiki/Walgett_railway_line,,1908,,
LILYDALE-WARBURTON RAIL TRAIL,77,,https://en.wikipedia.org/wiki/Warburton_railway_line,1901,1909,1965,
YEPPOON BRANCH,12,,https://en.wikipedia.org/wiki/North_Rockhampton_to_Emu_Park_railway_line,1898,1909,2007,47
WONNERUP NANNUP RAILWAY,9,,https://en.wikipedia.org/wiki/Nannup_railway_line,1871,1909,1984,
KILCOY BRANCH,8,Caboolture to Kilcoy,https://en.wikipedia.org/wiki/Kilcoy_railway_line,,1909,1996,
ISIS BRANCH,7,,https://en.wikipedia.org/wiki/Isis_railway_line,1887,1909,1964,
NYORA-WONTHAGGI RAIL TRAIL,103,,https://en.wikipedia.org/wiki/Wonthaggi_railway_line,1909,1910,1978,53
COWRA EUGOWRA RAILWAY,24,,https://en.wikipedia.org/wiki/Eugowra_railway_line,,1910,1991,80
WALHALLA GOLDFIELDS RAILWAY,20,,https://en.wikipedia.org/wiki/Walhalla_Goldfields_Railway,1904,1910,1954,
THE ATHERTON-HERBERTON HISTORIC RAILWAY INC.,13,,"https://en.wikipedia.org/wiki/Herberton,_Queensland",1887,1910,1988,
MULLEWA MEEKATHARRA RAILWAY,8,,https://en.wikipedia.org/wiki/Mullewa%E2%80%93Meekatharra_railway,1895,1910,1978,433
SELWYN BRANCH,1,,https://en.wikipedia.org/wiki/Great_Northern_Railway_(Mt_Isa_line),,1910,1961,
