Bendigo,Bendigo,Victoria,https://en.wikipedia.org/wiki/Bendigo,36°45′0″S,144°16′0″E,-36.75,144.26666666666668,1851,1851
"Castlemaine, Victoria",Castlemaine,Victoria,"https://en.wikipedia.org/wiki/Castlemaine,_Victoria",37°3′49″S,144°13′2″E,-37.06361111111111,144.21722222222223,1851,1851
"Grafton, New South Wales",Grafton,New South Wales,"https://en.wikipedia.org/wiki/Grafton,_New_South_Wales",29°41′0″S,152°56′0″E,-29.683333333333334,152.93333333333334,1851,1851
"Hamilton, Victoria",Hamilton,Victoria,"https://en.wikipedia.org/wiki/Hamilton,_Victoria",37°44′0″S,142°01′0″E,-37.733333333333334,142.01666666666668,,1851
"Horsham, Victoria",Horsham,Victoria,"https://en.wikipedia.org/wiki/Horsham,_Victoria",36°43′S,142°12′E,-36.71666666666667,142.2,,1851
Moama,Moama,New South Wales,https://en.wikipedia.org/wiki/Moama,36°5′0″S,144°45′0″E,-36.083333333333336,144.75,1851,1851
"Sale, Victoria",Sale,Victoria,"https://en.wikipedia.org/wiki/Sale,_Victoria",38°06′S,147°04′E,-38.1,147.06666666666666,1851,1851
"Tenterfield, New South Wales",Tenterfield,New South Wales,"https://en.wikipedia.org/wiki/Tenterfield,_New_South_Wales",29°02′55″S,152°01′04″E,-29.048611111111114,152.01777777777778,1851,1851
"Bordertown, South Australia",Bordertown,South Australia,"https://en.wikipedia.org/wiki/Bordertown,_South_Australia",36°18′42″S,140°46′13″E,-36.31166666666666,140.77027777777778,1852 (town),1852
"Daylesford, Victoria",Daylesford,Victoria,"https://en.wikipedia.org/wiki/Daylesford,_Victoria",37°21′0″S,144°09′0″E,-37.35,144.15,1852,1852
"Glen Innes, New South Wales",Glen Innes,New South Wales,"https://en.wikipedia.org/wiki/Glen_Innes,_New_South_Wales",29°45′00″S,151°44′10″E,-29.75,151.7361111111111,1852,1852
"Lismore, New South Wales",Lismore,New South Wales,"https://en.wikipedia.org/wiki/Lismore,_New_South_Wales",28°49′0″S,153°17′0″E,-28.816666666666666,153.28333333333333,1856,1852
"Mount Gambier, South Australia",Mount Gambier,South Australia,"https://en.wikipedia.org/wiki/Mount_Gambier,_South_Australia",37°49′46″S,140°46′58″E,-37.82944444444445,140.7827777777778,1854,1852
"Nowra, New South Wales",Nowra,New South Wales,"https://en.wikipedia.org/wiki/Nowra,_New_South_Wales",34°53′S,150°36′E,-34.88333333333333,150.6,1852,1852
Port Augusta,Port Augusta,South Australia,https://en.wikipedia.org/wiki/Port_Augusta,32°29′33″S,137°45′57″E,-32.4925,137.76583333333335,1852,1852
"Port Elliot, South Australia",Port Elliot,South Australia,"https://en.wikipedia.org/wiki/Port_Elliot,_South_Australia",35°32′04″S,138°40′44″E,-35.53444444444444,138.67888888888888,By 1852 (town),1852
"Walcha, New South Wales",Walcha,New South Wales,"https://en.wikipedia.org/wiki/Walcha,_New_South_Wales",30°59′S,151°36′E,-30.983333333333334,151.6,1852,1852
Wodonga,Wodonga,Victoria,https://en.wikipedia.org/wiki/Wodonga,36°07′17″S,146°53′17″E,-36.12138888888889,146.88805555555555,1852,1852
Beechworth,Beechworth,Victoria,https://en.wikipedia.org/wiki/Beechworth,36°21′34″S,146°41′13″E,-36.35944444444445,146.68694444444444,,1853
"Goolwa, South Australia",Goolwa,South Australia,"https://en.wikipedia.org/wiki/Goolwa,_South_Australia",35°30′0″S,138°46′0″E,-35.5,138.76666666666668,1853,1853
"Parkes, New South Wales",Parkes,New South Wales,"https://en.wikipedia.org/wiki/Parkes,_New_South_Wales",33°08′0″S,148°10′0″E,-33.13333333333333,148.16666666666666,1873,1853
Port Gregory,Port Gregory,Western Australia,https://en.wikipedia.org/wiki/Port_Gregory,28°11′00″S,114°15′00″E,-28.183333333333334,114.25,1853,1853
"Colac, Victoria",Colac,Victoria,"https://en.wikipedia.org/wiki/Colac,_Victoria",38°20′25″S,143°35′05″E,-38.34027777777778,143.58472222222224,,1854
"Camperdown, Victoria",Camperdown,Victoria,"https://en.wikipedia.org/wiki/Camperdown,_Victoria",38°14′S,143°09′E,-38.233333333333334,143.15,1854,1854
"Devonport, Tasmania",Devonport,Tasmania,"https://en.wikipedia.org/wiki/Devonport,_Tasmania",41°10′50″S,146°20′47″E,-41.18055555555555,146.3463888888889,,1854
Echuca,Echuca,Victoria,https://en.wikipedia.org/wiki/Echuca,36°08′0″S,144°45′0″E,-36.13333333333333,144.75,,1854
"Gladstone, Queensland",Gladstone,Queensland,"https://en.wikipedia.org/wiki/Gladstone,_Queensland",23°50′56″S,151°15′45″E,-23.848888888888887,151.2625,,1854
"Stirling, South Australia",Stirling,South Australia,"https://en.wikipedia.org/wiki/Stirling,_South_Australia",35°00′0″S,138°43′0″E,-35.0,138.71666666666667,1854,1854
"Yamba, New South Wales",Yamba,New South Wales,"https://en.wikipedia.org/wiki/Yamba,_New_South_Wales",29°26′S,153°21′E,-29.433333333333334,153.35,1854,1854
"Gatton, Queensland",Gatton,Queensland,"https://en.wikipedia.org/wiki/Gatton,_Queensland",27°33′40″S,152°16′32″E,-27.561111111111114,152.27555555555557,1855,1855
"Samford, Queensland",Samford,Queensland,"https://en.wikipedia.org/wiki/Samford,_Queensland",27°22′S,152°53′E,-27.366666666666667,152.88333333333333,1855,1855
Warrnambool,Warrnambool,Victoria,https://en.wikipedia.org/wiki/Warrnambool,38°23′0″S,142°29′0″E,-38.38333333333333,142.48333333333332,1855,1855
Gunnedah,Gunnedah,New South Wales,https://en.wikipedia.org/wiki/Gunnedah,30°58′0″S,150°15′0″E,-30.966666666666665,150.25,1856,1856
Inverell,Inverell,New South Wales,https://en.wikipedia.org/wiki/Inverell,29°46′S,151°07′E,-29.766666666666666,151.11666666666667,1856,1856
Quirindi,Quirindi,New South Wales,https://en.wikipedia.org/wiki/Quirindi,31°30′29″S,150°40′48″E,-31.508055555555554,150.67999999999998,1856,1856
"Ararat, Victoria",Ararat,Victoria,"https://en.wikipedia.org/wiki/Ararat,_Victoria",37°17′0″S,142°55′0″E,-37.28333333333333,142.91666666666666,1857,1857
"Ulverstone, Tasmania",Ulverstone,Tasmania,"https://en.wikipedia.org/wiki/Ulverstone,_Tasmania",41°10′S,146°10′E,-41.166666666666664,146.16666666666666,,1857
"Chiltern, Victoria",Chiltern,Victoria,"https://en.wikipedia.org/wiki/Chiltern,_Victoria",36°09′0″S,146°36′0″E,-36.15,146.6,,1858
"Laidley, Queensland",Laidley,Queensland,"https://en.wikipedia.org/wiki/Laidley,_Queensland",27°37′53″S,152°23′38″E,-27.63138888888889,152.39388888888888,1858,1858
Rockhampton,Rockhampton,Queensland,https://en.wikipedia.org/wiki/Rockhampton,23°22.5′S,150°30.7′E,-23.368055555555557,150.50194444444443,1858,1858
"Corowa, New South Wales",Corowa,New South Wales,"https://en.wikipedia.org/wiki/Corowa,_New_South_Wales",35°59′0″S,146°23′0″E,-35.983333333333334,146.38333333333333,1858,1858
"Allora, Queensland",Allora,Queensland,"https://en.wikipedia.org/wiki/Allora,_Queensland",28°02′S,151°59′E,-28.033333333333335,151.98333333333332,,1859
